Country,Date,search_index
Iran,2020-01-26,3.0
Iran,2020-02-02,4.0
Iran,2020-02-09,1.0
Iran,2020-02-16,5.0
Iran,2020-02-23,20.0
Iran,2020-03-01,12.0
Iran,2020-03-08,12.0
Iran,2020-03-15,17.0
Iran,2020-03-22,11.0
Iran,2020-03-29,10.0
Iran,2020-04-05,8.0
Iran,2020-04-12,6.0
Iran,2020-04-19,6.0
Iran,2020-04-26,8.0
Iran,2020-05-03,5.0
Iran,2020-05-10,6.0
Iran,2020-05-17,8.0
Iran,2020-05-24,6.0
Iran,2020-05-31,6.0
Iran,2020-06-07,7.0
Iran,2020-06-14,6.0
Iran,2020-06-21,7.0
Iran,2020-06-28,10.0
Iran,2020-07-05,10.0
Iran,2020-07-12,11.0
Iran,2020-07-19,12.0
Iran,2020-07-26,13.0
Iran,2020-08-02,9.0
Iran,2020-08-09,15.0
Iran,2020-08-16,9.0
Iran,2020-08-23,8.0
Iran,2020-08-30,8.0
Iran,2020-09-06,8.0
Iran,2020-09-13,6.0
Iran,2020-09-20,7.0
Iran,2020-09-27,7.0
Iran,2020-10-04,7.0
Iran,2020-10-11,9.0
Iran,2020-10-18,6.0
Iran,2020-10-25,7.0
Iran,2020-11-01,7.0
Iran,2020-11-08,14.0
Iran,2020-11-15,11.0
Iran,2020-11-22,9.0
Iran,2020-11-29,8.0
Iran,2020-12-06,11.0
Iran,2020-12-13,9.0
Iran,2020-12-20,12.0
Iran,2020-12-27,13.0
Iran,2021-01-03,11.0
Iran,2021-01-10,18.0
Iran,2021-01-17,10.0
Iran,2021-01-24,12.0
Iran,2021-01-31,20.0
Iran,2021-02-07,14.0
Iran,2021-02-14,12.0
Iran,2021-02-21,13.0
Iran,2021-02-28,15.0
Iran,2021-03-07,16.0
Iran,2021-03-14,16.0
Iran,2021-03-21,18.0
Iran,2021-03-28,20.0
Iran,2021-04-04,25.0
Iran,2021-04-11,28.0
Iran,2021-04-18,46.0
Iran,2021-04-25,45.0
Iran,2021-05-02,28.0
Iran,2021-05-09,25.0
Iran,2021-05-16,25.0
Iran,2021-05-23,27.0
Iran,2021-05-30,35.0
Iran,2021-06-06,21.0
Iran,2021-06-13,22.0
Iran,2021-06-20,28.0
Iran,2021-06-27,27.0
Iran,2021-07-04,29.0
Iran,2021-07-11,36.0
Iran,2021-07-18,42.0
Iran,2021-07-25,47.0
Iran,2021-08-01,95.0
Iran,2021-08-08,78.0
Iran,2021-08-15,73.0
Iran,2021-08-22,60.0
Iran,2021-08-29,56.0
Iran,2021-09-05,77.0
Iran,2021-09-12,100.0
Iran,2021-09-19,68.0
Iran,2021-09-26,72.0
Iran,2021-10-03,73.0
Iran,2021-10-10,61.0
Iran,2021-10-17,56.0
Iran,2021-10-24,44.0
Iran,2021-10-31,31.0
Iran,2021-11-07,29.0
Iran,2021-11-14,27.0
Iran,2021-11-21,25.0
Iran,2021-11-28,23.0
Iran,2021-12-05,31.0
Iran,2021-12-12,27.0
Iran,2021-12-19,29.0
Iran,2021-12-26,21.0
Iran,2022-01-02,15.0
Iran,2022-01-09,17.0
Iran,2022-01-16,48.0
Iran,2022-01-23,19.0
Iran,2022-01-30,24.0
Iran,2022-02-06,19.0
Iran,2022-02-13,16.0
Iran,2022-02-20,14.0
Iran,2022-02-27,15.0
Iran,2022-03-06,16.0
Iran,2022-03-13,18.0
Iran,2022-03-20,12.0
Iran,2022-03-27,11.0
Iran,2022-04-03,11.0
Iran,2022-04-10,10.0
