Country,Date,search_index
China HongKong,2020-01-26,93.0
China HongKong,2020-02-02,100.0
China HongKong,2020-02-09,74.0
China HongKong,2020-02-16,70.0
China HongKong,2020-02-23,74.0
China HongKong,2020-03-01,89.0
China HongKong,2020-03-08,91.0
China HongKong,2020-03-15,79.0
China HongKong,2020-03-22,56.0
China HongKong,2020-03-29,44.0
China HongKong,2020-04-05,38.0
China HongKong,2020-04-12,40.0
China HongKong,2020-04-19,35.0
China HongKong,2020-04-26,36.0
China HongKong,2020-05-03,41.0
China HongKong,2020-05-10,42.0
China HongKong,2020-05-17,46.0
China HongKong,2020-05-24,43.0
China HongKong,2020-05-31,50.0
China HongKong,2020-06-07,46.0
China HongKong,2020-06-14,43.0
China HongKong,2020-06-21,49.0
China HongKong,2020-06-28,50.0
China HongKong,2020-07-05,46.0
China HongKong,2020-07-12,36.0
China HongKong,2020-07-19,41.0
China HongKong,2020-07-26,38.0
China HongKong,2020-08-02,39.0
China HongKong,2020-08-09,39.0
China HongKong,2020-08-16,40.0
China HongKong,2020-08-23,37.0
China HongKong,2020-08-30,46.0
China HongKong,2020-09-06,51.0
China HongKong,2020-09-13,42.0
China HongKong,2020-09-20,47.0
China HongKong,2020-09-27,42.0
China HongKong,2020-10-04,42.0
China HongKong,2020-10-11,53.0
China HongKong,2020-10-18,51.0
China HongKong,2020-10-25,48.0
China HongKong,2020-11-01,42.0
China HongKong,2020-11-08,51.0
China HongKong,2020-11-15,49.0
China HongKong,2020-11-22,38.0
China HongKong,2020-11-29,38.0
China HongKong,2020-12-06,34.0
China HongKong,2020-12-13,28.0
China HongKong,2020-12-20,29.0
China HongKong,2020-12-27,31.0
China HongKong,2021-01-03,28.0
China HongKong,2021-01-10,37.0
China HongKong,2021-01-17,31.0
China HongKong,2021-01-24,34.0
China HongKong,2021-01-31,34.0
China HongKong,2021-02-07,30.0
China HongKong,2021-02-14,30.0
China HongKong,2021-02-21,34.0
China HongKong,2021-02-28,39.0
China HongKong,2021-03-07,35.0
China HongKong,2021-03-14,37.0
China HongKong,2021-03-21,42.0
China HongKong,2021-03-28,41.0
China HongKong,2021-04-04,39.0
China HongKong,2021-04-11,41.0
China HongKong,2021-04-18,43.0
China HongKong,2021-04-25,61.0
China HongKong,2021-05-02,50.0
China HongKong,2021-05-09,46.0
China HongKong,2021-05-16,43.0
China HongKong,2021-05-23,43.0
China HongKong,2021-05-30,44.0
China HongKong,2021-06-06,42.0
China HongKong,2021-06-13,45.0
China HongKong,2021-06-20,41.0
China HongKong,2021-06-27,47.0
China HongKong,2021-07-04,44.0
China HongKong,2021-07-11,47.0
China HongKong,2021-07-18,43.0
China HongKong,2021-07-25,39.0
China HongKong,2021-08-01,43.0
China HongKong,2021-08-08,45.0
China HongKong,2021-08-15,47.0
China HongKong,2021-08-22,43.0
China HongKong,2021-08-29,39.0
China HongKong,2021-09-05,41.0
China HongKong,2021-09-12,45.0
China HongKong,2021-09-19,36.0
China HongKong,2021-09-26,34.0
China HongKong,2021-10-03,43.0
China HongKong,2021-10-10,40.0
China HongKong,2021-10-17,39.0
China HongKong,2021-10-24,39.0
China HongKong,2021-10-31,42.0
China HongKong,2021-11-07,37.0
China HongKong,2021-11-14,40.0
China HongKong,2021-11-21,35.0
China HongKong,2021-11-28,42.0
China HongKong,2021-12-05,37.0
China HongKong,2021-12-12,36.0
China HongKong,2021-12-19,32.0
China HongKong,2021-12-26,34.0
China HongKong,2022-01-02,38.0
China HongKong,2022-01-09,36.0
China HongKong,2022-01-16,32.0
China HongKong,2022-01-23,33.0
China HongKong,2022-01-30,30.0
China HongKong,2022-02-06,37.0
China HongKong,2022-02-13,40.0
China HongKong,2022-02-20,46.0
China HongKong,2022-02-27,41.0
China HongKong,2022-03-06,38.0
China HongKong,2022-03-13,34.0
China HongKong,2022-03-20,47.0
China HongKong,2022-03-27,47.0
China HongKong,2022-04-03,42.0
China HongKong,2022-04-10,42.0
